observation,GPA(y),ACT(X),y-mean(y),x-MEAN(X),D*E,E^2
112,3.6,30,0.52595,5.275,2.77438625,27.825625
113,2.394,20,-0.68005,-4.725,3.21323625,22.325625
114,2.286,20,-0.78805,-4.725,3.72353625,22.325625
115,1.486,31,-1.58805,6.275,-9.96501375,39.375625
116,3.885,20,0.81095,-4.725,-3.83173875,22.325625
117,3.8,29,0.72595,4.275,3.10343625,18.275625
118,3.914,28,0.83995,3.275,2.75083625,10.725625
119,1.86,16,-1.21405,-8.725,10.59258625,76.125625
120,2.948,28,-0.12605,3.275,-0.41281375,10.725625
mean,3.07405,24.725,,SUM,92.40565,2379.925
,,,,,,
,,,,,,
,,,,,result1,0.038827127
,,,,,result0,2.114049287
